Parent ID,Parent Name,Triggered Mean Count,Triggered 10 Year Prob,Triggered Primary Mean Count
245,Death Valley (Black Mtns Frontal),8.0E-6,8.0E-6,2.0E-6
45,Death Valley (Fish Lake Valley),4.0E-6,4.0E-6,0.0
46,Death Valley (No),0.0,0.0,0.0
246,Death Valley (So),2.4E-5,2.4E-5,2.0E-6
51,Deep Springs,2.0E-6,2.0E-6,0.0
230,Del Valle,0.0,0.0,0.0
889,Dog Valley,0.0,0.0,0.0
888,Dry Mountain,0.0,0.0,0.0
249,Earthquake Valley,0.0,0.0,0.0
255,Earthquake Valley (No  Extension),0.0,0.0,0.0
256,Earthquake Valley (So Extension),0.0,0.0,0.0
671,East Huasna 2011 CFM,0.0,0.0,0.0
672,Eaton Roughs 2011 CFM,0.0,0.0,0.0
96,Elmore Ranch,0.0,0.0,0.0
103,Elsinore (Coyote Mountains),0.0,0.0,0.0
296,Elsinore (Glen Ivy) rev,6.0E-6,6.0E-6,2.0E-6
102,Elsinore (Julian),2.0E-6,2.0E-6,0.0
402,Elsinore (Stepovers Combined),6.0E-6,6.0E-6,2.0E-6
299,Elsinore (Temecula) rev,2.0E-6,2.0E-6,0.0
196,Elysian Park (Lower CFM),0.0,0.0,0.0
146,Elysian Park (Upper),3.2E-5,3.2E-5,0.0
90,Emerson-Copper Mtn 2011,0.0,0.0,0.0
95,Eureka Peak,0.0,0.0,0.0
20,Fickle Hill (alt1),0.0,0.0,0.0
698,Fish Slough 2011 CFM,0.0,0.0,0.0
893,Fitzhugh Creek,0.0,0.0,0.0
204,Fontana (Seismicity),0.0,0.0,0.0
634,Franklin 2011 CFM,0.0,0.0,0.0
699,Garberville - Briceland 2011 CFM,0.0,0.0,0.0
159,Garlic Springs,0.0,0.0,0.0
341,Garlock (Central),9.8E-5,9.8E-5,0.0
48,Garlock (East),4.0E-5,4.0E-5,0.0
49,Garlock (West),1.5E-4,1.5E-4,0.0
700,Gillem - Big Crack 2011 CFM,0.0,0.0,0.0
160,Goldstone Lake,0.0,0.0,0.0
701,Goose Lake 2011 CFM,0.0,0.0,0.0
86,Gravel Hills-Harper Lk,0.0,0.0,0.0
131,Great Valley 01,0.0,0.0,0.0
133,Great Valley 02,0.0,0.0,0.0
132,Great Valley 03 Mysterious Ridge,0.0,0.0,0.0
383,Great Valley 03a Dunnigan Hills,0.0,0.0,0.0
134,Great Valley 04a Trout Creek,4.0E-6,4.0E-6,2.0E-6
381,Great Valley 04b Gordon Valley,2.0E-6,2.0E-6,0.0
717,Great Valley 05 Pittsburg - Kirby Hills alt1,2.0E-6,2.0E-6,0.0
645,Great Valley 06 (Midland) 2011 CFM alt1,0.0,0.0,0.0
136,Great Valley 07 (Orestimba),6.0E-6,6.0E-6,2.0E-6
137,Great Valley 08 (Quinto),1.8E-5,1.8E-5,8.0E-6
151,Great Valley 09 (Laguna Seca),2.0E-5,2.0E-5,4.0E-6
138,Great Valley 10 (Panoche),7.6E-5,7.6E-5,2.4E-5
139,Great Valley 11,8.4E-5,8.4E-5,3.0E-5
140,Great Valley 12,1.24E-4,1.24E-4,2.6E-5
142,Great Valley 13 (Coalinga),0.0,0.0,0.0
141,Great Valley 14 (Kettleman Hills),3.46E-4,3.46E-4,1.16E-4
623,Green Valley 2011 CFM,2.0E-6,2.0E-6,0.0
636,Greenville (No) 2011 CFM,2.0E-6,2.0E-6,0.0
635,Greenville (So) 2011 CFM,0.0,0.0,0.0
702,Hartley Springs 2011 CFM,2.0E-6,2.0E-6,2.0E-6
37,Hat Creek-McArthur-Mayfield,0.0,0.0,0.0
639,Hayward (No) 2011 CFM,1.4E-5,1.4E-5,0.0
638,Hayward (So) 2011 CFM,1.4E-5,1.2E-5,0.0
637,Hayward (So) extension 2011 CFM,0.0,0.0,0.0
167,Hector Mine,0.0,0.0,0.0
84,Helendale-So Lockhart,2.0E-6,2.0E-6,0.0
703,Hilton Creek 2011 CFM,0.0,0.0,0.0
108,Hollywood,1.6E-5,1.6E-5,0.0
228,Holser alt 1,4.0E-6,4.0E-6,0.0
723,Homestead Valley 2011,0.0,0.0,0.0
704,Honey Lake 2011 CFM,0.0,0.0,0.0
30,Hosgri,1.0E-4,1.0E-4,3.4E-5
208,Hosgri (Extension),0.0,0.0,0.0
50,Hunter Mountain-Saline Valley,1.2E-5,1.2E-5,2.0E-6
677,Hunting Creek - Bartlett Springs connector 2011,0.0,0.0,0.0
640,Hunting Creek - Berryessa 2011 CFM,4.0E-6,4.0E-6,2.0E-6
97,Imperial,0.0,0.0,0.0
678,Incline Village 2011 CFM,0.0,0.0,0.0
65,Independence rev 2011,0.0,0.0,0.0
892,Jess Valley,0.0,0.0,0.0
91,Johnson Valley (No) 2011 rev,0.0,0.0,0.0
168,Joshua Tree (Seismicity),0.0,0.0,0.0
679,Keddie Ridge 2011 CFM,0.0,0.0,0.0
542,Kern Canyon (Lake Isabella) 2011,0.0,0.0,0.0
544,Kern Canyon (North Kern) 2011,0.0,0.0,0.0
543,Kern Canyon (South Kern) 2011,0.0,0.0,0.0
92,Kickapoo,0.0,0.0,0.0
680,King Range 2011 CFM,0.0,0.0,0.0
641,La Panza 2011,0.0,0.0,0.0
104,Laguna Salada,0.0,0.0,0.0
207,Lake Isabella (Seismicity),0.0,0.0,0.0
642,Las Positas,0.0,0.0,0.0
890,Last Chance,0.0,0.0,0.0
85,Lenwood-Lockhart-Old Woman Springs,2.0E-6,2.0E-6,0.0
